Id,Title,Body,RatingsSentiCR,RatingsGPT35,RatingsGPTFineTuned
6291325,R: Replacing rownames of data frame by a substring[2],"I have a question about the use of gsub. The rownames of my data, have the same partial names. See below: 

&gt; rownames(test)
[1] ""U2OS.EV.2.7.9""   ""U2OS.PIM.2.7.9""  ""U2OS.WDR.2.7.9""  ""U2OS.MYC.2.7.9""
[5] ""U2OS.OBX.2.7.9""  ""U2OS.EV.18.6.9""  ""U2O2.PIM.18.6.9"" ""U2OS.WDR.18.6.9""
[9] ""U2OS.MYC.18.6.9"" ""U2OS.OBX.18.6.9"" ""X1.U2OS...OBX""   ""X2.U2OS...MYC""
[13] ""X3.U2OS...WDR82"" ""X4.U2OS...PIM""   ""X5.U2OS...EV""    ""exp1.U2OS.EV""
[17] ""exp1.U2OS.MYC""   ""EXP1.U20S..PIM1"" ""EXP1.U2OS.WDR82"" ""EXP1.U20S.OBX""
[21] ""EXP2.U2OS.EV""    ""EXP2.U2OS.MYC""   ""EXP2.U2OS.PIM1""  ""EXP2.U2OS.WDR82""
[25] ""EXP2.U2OS.OBX""


In my previous question, I asked if there is a way to get the same names for the same partial names. See this question: Replacing rownames of data frame by a sub-string 

The answer is a very nice solution. The function gsub is used in this way:  

 transfecties = gsub("".*(MYC|EV|PIM|WDR|OBX).*"", ""\\1"", rownames(test)


Now, I have another problem, the program I run with R (Galaxy) doesn't recognize the | characters. My question is, is there another way to get to the same solution without using this |?

Thanks!  
",1,-1,-1.0
20966921,Ansible-galaxy throws ImportError: No module named yaml,"
When I try to install ansible role, I see this exception.

 $ ansible-galaxy install zzet.postgresql
 Traceback (most recent call last):
 File ""/Users/myHomeDir/.homebrew/Cellar/ansible/1.4.3/libexec/bin/ansible-galaxy"", line 34, in &lt;module&gt;
 import yaml
 ImportError: No module named yaml


OS: Mac Os Maverick
Ansible: 1.4.3

Does anyone know how to fix it?
",0,-1,-1.0
27132238,Galaxy Gear not recognized by adb and odin after last update,"Today I updated my galaxy gear to latest version and since then adb and odin are not recognizing it. I tried almost everything, changing cable, restarting, usb debugging on/off, i have no idea what could it be. 
ADB always returns an emtpy list on ""adb devices"" and error:no device on adb:shell.
Any idea?
",-1,-1,-1.0
27681875,"ansible-galaxy role fails with ""do not have permission to modify /etc/ansible/roles/""","tl;dr = How do OS X users recommend working around this permissions error?

I'm on OS X 10.10.1 and I recently installed Ansible running the following: 

sudo pip install ansible --quiet
sudo pip install ansible --upgrade


I want to start off with a galaxy role to install homebrew and went to run this one with the following error: 

$ ansible-galaxy install geerlingguy.homebrew
- downloading role 'homebrew', owned by geerlingguy
- downloading role from https://github.com/geerlingguy/ansible-role-homebrew/archive/1.0.1.tar.gz
- extracting geerlingguy.homebrew to /etc/ansible/roles/geerlingguy.homebrew
- error: you do not have permission to modify files in /etc/ansible/roles/geerlingguy.homebrew
- geerlingguy.homebrew was NOT installed successfully.
- you can use --ignore-errors to skip failed roles.


While I see /etc is owned by root, I don't see any notes in documentation saying I should chmod anything. 

For reference: 

$ ansible --version
ansible 1.8.2
  configured module search path = None


Is this expected or is my installation somehow wrong? 
",-1,-1,-1.0
30129095,Ansible galaxy: expected a role name in dictionary,"I have an ansible playbook with roles listed. One of the roles have a tag, and it is ansible galaxy role. I have it installed with ansible-galaxy install.

Playbook part:

roles: 
  ... roles here
  - {name: httplab.ffmpeg, tags: ffmpeg}


On playbook run I get 

ERROR: expected a role name in dictionary: {'name': 'httplab.ffmpeg', 'tags': 'ffmpeg'}


That's quite confusing message actually. What I'm doing wrong here?
",-1,-1,-1.0
31467156,How to control camera flash light with camera2 API,"I want to control flash light of smartphone (Galaxy s6) using camera2 API.

I checked it is available by codes like this,

try {
    CameraManager mManager = (CameraManager) getSystemService(Context.CAMERA_SERVICE);
    String [] cameraId = mManager.getCameraIdList();
    CameraCharacteristics cameraCharacteristics = mManager.getCameraCharacteristics(cameraId[1]);
    Toast.makeText(getApplicationContext(),cameraId[0]+cameraId[1],Toast.LENGTH_LONG).show();
    boolean flashAvailable = cameraCharacteristics.get(CameraCharacteristics.FLASH_INFO_AVAILABLE);
    if (flashAvailable) {
        mManager.openCamera(cameraId[0], new MyStateCallback(), null);
        Toast.makeText(getApplicationContext(),""Flash is available"",Toast.LENGTH_LONG).show();
    } else {
        //todo: throw Exception
        Toast.makeText(getApplicationContext(),""Flash is not available"",Toast.LENGTH_LONG).show();
    }
} catch (Exception e) {
    e.printStackTrace();
}


But, Toast message : Flash is not available.

Of course, I declared permission and hardware features in manifest.

Is it impossible to control flash light with this device or camera2 API?
",-1,-1,-1.0
34980330,ansible-galaxy login: Unexpected Exception: No JSON object could be decoded,"I have been search all over and can't seem to solve this issue. I am trying to setup the Travis integration for the ansible role. According to the docs I need to authenticate first. I then run ansible-galaxy login, provide my github details and then:
Unexpected Exception: No JSON object could be decoded.

The traceback:

    File ""/usr/local/bin/ansible-galaxy"", line 85, in &lt;module&gt;
    sys.exit(cli.run())
  File ""/usr/local/lib/python2.7/site-packages/ansible/cli/galaxy.py"", line 152, in run
    self.execute()
  File ""/usr/local/lib/python2.7/site-packages/ansible/cli/__init__.py"", line 99, in execute
    fn()
  File ""/usr/local/lib/python2.7/site-packages/ansible/cli/galaxy.py"", line 553, in execute_login
    galaxy_response = self.api.authenticate(github_token)
  File ""/usr/local/lib/python2.7/site-packages/ansible/galaxy/api.py"", line 119, in authenticate
    data = json.load(resp)
  File ""/usr/local/Cellar/python/2.7.10_2/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/__init__.py"", line 290, in load
    **kw)
  File ""/usr/local/Cellar/python/2.7.10_2/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/__init__.py"", line 338, in loads
    return _default_decoder.decode(s)
  File ""/usr/local/Cellar/python/2.7.10_2/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/decoder.py"", line 366, in decode
    obj, end = self.raw_decode(s, idx=_w(s, 0).end())
  File ""/usr/local/Cellar/python/2.7.10_2/Frameworks/Python.framework/Versions/2.7/lib/python2.7/json/decoder.py"", line 384, in raw_decode
    raise ValueError(""No JSON object could be decoded"")
ValueError: No JSON object could be decoded


I even tried to reinstall ansible but no luck. 
Any ideas? 
",-1,-1,-1.0
35669740,How can to get a curated list of Ansible Galaxy roles?,"Ansible galaxy concept is great as it supposed to promote playbook reuse. 

Still because it lacks any serious filtering or curating methods it became a victim of its own success: there are too many options to pick from and most of them (if not all) being incomplete, obsolete or without a community behind them.

Ansible galaxy reminds me a little bit about Jenkins plugins, another place where too many options is worse than having less.

Do you know a way to deal with this problem? How we should approach this issue. 

I would love to contribute to incomplete roles, but with the current state of affairs it seems impossible to know which one to worth any attention.
",-1,-1,-1.0
36359647,Galaxy NGS not displaying installed tools,"I'm running an instance of Galaxy NGS in an Ubuntu server, with a basic configuration, postgresql database, and apache.

When I log in as Admin in the Galaxy interface, and try to add a new tool through the tool shed, the tool is installed and I can use it without problems

However, if Galaxy needs to be restarted, the tool does not appear anymore

I followed the instructions here to configure a folder to keep the installed tools, like it explains there, adding a line in config.ini with the desired folder

tool_dependency_dir = dependency_dir


But that doesn't do the trick and the tools are not stored in the folder anyway

Does somebody have a clue on what could I be missing?
",-1,-1,-1.0
36393749,Always run ansible role before other role,"I'm trying to find my way out of a dependency thicket. I'm using Ansible 1.9.2.

In a single playbook, I want to be able to install a Galaxy role (in the event, the Datadog.datadog role) and configure it. But Ansible always barfs; since the Datadog.datadog role doesn't exist until another role that I wrote installs the Galaxy role, it won't execute. This is how I'd really like it to be, cutting out the other roles that my playbook uses:

- hosts: all
  roles: 
  - install_datadog
  - (some other roles...)
  - { role: Datadog.datadog, sudo: true }
  vars:
    datadog_api_key: ""somekey""


I have tried all of the following, and none of them work for installing the Ansible Galaxy Datadog.datadog role first:


Having an earlier block in the same playbook that runs my install_datadog role. 
Using an 'include' statement earlier in the playbook that includes the install_datadog role's main.yml.
Creating a pre_task statement in the above playbook.


Defining a role dependency doesn't make sense, because Datadog.datadog doesn't exist yet, so I can't define any dependencies in it. There is always an error akin to this:

ERROR: cannot find role in /etc/ansible/roles/Datadog.datadog


The only thing I can get to work is executing the install_datadog role in a prior run. This is not a great solution, as previously one playbook that had many execution blocks and role invocations configured our whole environment; this would require the execution of two playbooks in a specific order, which is highly inelegant.

So in a single run, how do I resolve a Galaxy role that won't exist until an earlier role has run to install it?
",-1,-1,-1.0
